,player,opposition,runs,wkts
496,MA Starc (AUS),v Pakistan,67,1.0
497,MA Starc (AUS),v South Africa,130,5.0
498,MA Starc (AUS),v Sri Lanka,43,2.0
499,MA Wood (ENG),v Afghanistan,68,2.0
500,MA Wood (ENG),v Australia,70,2.0
501,MA Wood (ENG),v Bangladesh,35,1.0
502,MA Wood (ENG),v India,46,1.0
503,MA Wood (ENG),v New Zealand,68,0.0
504,MA Wood (ENG),v South Africa,119,0.0
505,MA Wood (ENG),v Sri Lanka,28,0.0
506,MADI Hemantha (SL),v India,52,0.0
507,MADI Hemantha (SL),v Netherlands,46,0.0
508,MD Shanaka (SL),v Pakistan,40,0.0
509,MD Shanaka (SL),v South Africa,104,0.0
510,MDKJ Perera (SL),v Australia,78,0.0
511,MDKJ Perera (SL),v Bangladesh,4,0.0
512,MDKJ Perera (SL),v England,4,0.0
513,MDKJ Perera (SL),v Netherlands,5,0.0
514,MDKJ Perera (SL),v New Zealand,51,0.0
515,MDKJ Perera (SL),v Pakistan,0,0.0
516,MDKJ Perera (SL),v South Africa,7,0.0
517,MJ Henry (NZ),v Afghanistan,16,1.0
518,MJ Henry (NZ),v Australia,76,1.0
519,MJ Henry (NZ),v Bangladesh,58,2.0
520,MJ Henry (NZ),v England,48,3.0
521,MJ Henry (NZ),v India,55,1.0
522,MJ Henry (NZ),v Netherlands,50,3.0
523,MJ Henry (NZ),v South Africa,31,0.0
524,MJ Santner (NZ),v Afghanistan,46,3.0
525,MJ Santner (NZ),v Australia,97,2.0
526,MJ Santner (NZ),v Bangladesh,31,1.0
527,MJ Santner (NZ),v England,37,2.0
528,MJ Santner (NZ),v India,98,1.0
529,MJ Santner (NZ),v Netherlands,95,5.0
530,MJ Santner (NZ),v Pakistan,61,0.0
531,MJ Santner (NZ),v South Africa,65,0.0
532,MJ Santner (NZ),v Sri Lanka,22,2.0
533,MM Ali (ENG),v Australia,70,0.0
534,MM Ali (ENG),v India,52,0.0
535,MM Ali (ENG),v Netherlands,46,3.0
536,MM Ali (ENG),v New Zealand,71,0.0
537,MM Ali (ENG),v Pakistan,68,2.0
538,MM Ali (ENG),v Sri Lanka,36,0.0
539,MP O'Dowd (NED),v Afghanistan,42,0.0
540,MP O'Dowd (NED),v Australia,6,0.0
541,MP O'Dowd (NED),v Bangladesh,0,0.0
542,MP O'Dowd (NED),v England,5,0.0
543,MP O'Dowd (NED),v India,30,0.0
544,MP O'Dowd (NED),v New Zealand,16,0.0
545,MP O'Dowd (NED),v Pakistan,5,0.0
546,MP O'Dowd (NED),v South Africa,18,0.0
547,MP O'Dowd (NED),v Sri Lanka,16,0.0
548,MP Stoinis (AUS),v Afghanistan,8,0.0
549,MP Stoinis (AUS),v Bangladesh,45,1.0
550,MP Stoinis (AUS),v England,69,1.0
551,MP Stoinis (AUS),v Pakistan,61,2.0
552,MP Stoinis (AUS),v South Africa,16,0.0
553,MP Stoinis (AUS),v Sri Lanka,31,0.0
554,MR Marsh (AUS),v Afghanistan,24,0.0
555,MR Marsh (AUS),v Bangladesh,225,0.0
556,MR Marsh (AUS),v India,0,0.0
557,MR Marsh (AUS),v Netherlands,28,2.0
558,MR Marsh (AUS),v New Zealand,54,0.0
559,MR Marsh (AUS),v Pakistan,121,0.0
560,MR Marsh (AUS),v South Africa,13,0.0
561,MR Marsh (AUS),v Sri Lanka,52,0.0
562,MS Chapman (NZ),v Afghanistan,25,0.0
563,MS Chapman (NZ),v India,8,0.0
564,MS Chapman (NZ),v Netherlands,5,0.0
565,MS Chapman (NZ),v Pakistan,39,0.0
566,MS Chapman (NZ),v Sri Lanka,7,0.0
567,Mahedi Hasan (BAN),v Australia,40,0.0
568,Mahedi Hasan (BAN),v England,85,4.0
569,Mahedi Hasan (BAN),v Netherlands,57,2.0
570,Mahmudullah (BAN),v Afghanistan,7,0.0
571,Mahmudullah (BAN),v Australia,32,0.0
572,Mahmudullah (BAN),v India,52,0.0
573,Mahmudullah (BAN),v Netherlands,20,0.0
574,Mahmudullah (BAN),v New Zealand,41,0.0
575,Mahmudullah (BAN),v Pakistan,56,0.0
576,Mahmudullah (BAN),v South Africa,131,0.0
577,Mahmudullah (BAN),v Sri Lanka,22,0.0
578,Mehidy Hasan Miraz (BAN),v Afghanistan,82,3.0
579,Mehidy Hasan Miraz (BAN),v Australia,76,0.0
580,Mehidy Hasan Miraz (BAN),v England,63,0.0
581,Mehidy Hasan Miraz (BAN),v India,50,2.0
582,Mehidy Hasan Miraz (BAN),v Netherlands,52,0.0
583,Mehidy Hasan Miraz (BAN),v New Zealand,88,0.0
584,Mehidy Hasan Miraz (BAN),v Pakistan,85,3.0
585,Mehidy Hasan Miraz (BAN),v South Africa,55,1.0
586,Mehidy Hasan Miraz (BAN),v Sri Lanka,52,1.0
587,Mohammad Nabi (AFG),v Australia,32,0.0
588,Mohammad Nabi (AFG),v Bangladesh,24,0.0
589,Mohammad Nabi (AFG),v England,25,2.0
590,Mohammad Nabi (AFG),v India,51,0.0
591,Mohammad Nabi (AFG),v Netherlands,28,3.0
592,Mohammad Nabi (AFG),v New Zealand,48,0.0
593,Mohammad Nabi (AFG),v Pakistan,31,1.0
594,Mohammad Nabi (AFG),v South Africa,37,2.0
595,Mohammad Nabi (AFG),v Sri Lanka,33,0.0
596,Mohammad Nawaz (3) (PAK),v Australia,57,0.0
597,Mohammad Nawaz (3) (PAK),v India,51,0.0
598,Mohammad Nawaz (3) (PAK),v Netherlands,70,1.0
599,Mohammad Nawaz (3) (PAK),v South Africa,64,0.0
600,Mohammad Nawaz (3) (PAK),v Sri Lanka,62,1.0
601,Mohammad Rizwan (PAK),v Afghanistan,8,0.0
602,Mohammad Rizwan (PAK),v Australia,46,0.0
603,Mohammad Rizwan (PAK),v Bangladesh,26,0.0
604,Mohammad Rizwan (PAK),v England,36,0.0
605,Mohammad Rizwan (PAK),v India,49,0.0
606,Mohammad Rizwan (PAK),v Netherlands,68,0.0
607,Mohammad Rizwan (PAK),v South Africa,31,0.0
608,Mohammad Rizwan (PAK),v Sri Lanka,131,0.0
609,Mohammad Wasim (1) (PAK),v Bangladesh,31,3.0
610,Mohammad Wasim (1) (PAK),v England,90,2.0
611,Mohammad Wasim (1) (PAK),v New Zealand,60,3.0
612,Mohammad Wasim (1) (PAK),v South Africa,57,2.0
613,Mohammed Shami (IND),v England,23,4.0
614,Mohammed Shami (IND),v Netherlands,41,0.0
615,Mohammed Shami (IND),v New Zealand,112,12.0
616,Mohammed Shami (IND),v South Africa,18,2.0
617,Mohammed Shami (IND),v Sri Lanka,20,5.0
618,Mohammed Siraj (IND),v Afghanistan,76,0.0
619,Mohammed Siraj (IND),v Australia,26,1.0
620,Mohammed Siraj (IND),v Bangladesh,60,2.0
621,Mohammed Siraj (IND),v England,33,0.0
622,Mohammed Siraj (IND),v Netherlands,29,2.0
623,Mohammed Siraj (IND),v New Zealand,123,2.0
624,Mohammed Siraj (IND),v Pakistan,50,2.0
625,Mohammed Siraj (IND),v South Africa,11,1.0
626,Mohammed Siraj (IND),v Sri Lanka,16,3.0
627,Mujeeb Ur Rahman (AFG),v Australia,72,0.0
628,Mujeeb Ur Rahman (AFG),v Bangladesh,31,0.0
629,Mujeeb Ur Rahman (AFG),v England,79,3.0
630,Mujeeb Ur Rahman (AFG),v India,74,0.0
631,Mujeeb Ur Rahman (AFG),v Netherlands,40,1.0
632,Mujeeb Ur Rahman (AFG),v New Zealand,61,1.0
633,Mujeeb Ur Rahman (AFG),v Pakistan,55,0.0
634,Mujeeb Ur Rahman (AFG),v South Africa,59,1.0
635,Mujeeb Ur Rahman (AFG),v Sri Lanka,38,2.0
636,Mushfiqur Rahim (BAN),v Afghanistan,2,0.0
637,Mushfiqur Rahim (BAN),v Australia,21,0.0
638,Mushfiqur Rahim (BAN),v England,51,0.0
639,Mushfiqur Rahim (BAN),v India,38,0.0
640,Mushfiqur Rahim (BAN),v Netherlands,1,0.0
641,Mushfiqur Rahim (BAN),v New Zealand,66,0.0
642,Mushfiqur Rahim (BAN),v Pakistan,5,0.0
643,Mushfiqur Rahim (BAN),v South Africa,8,0.0
644,Mushfiqur Rahim (BAN),v Sri Lanka,10,0.0
645,Mustafizur Rahman (BAN),v Afghanistan,28,1.0
646,Mustafizur Rahman (BAN),v Australia,76,1.0
647,Mustafizur Rahman (BAN),v England,73,0.0
648,Mustafizur Rahman (BAN),v India,30,0.0
649,Mustafizur Rahman (BAN),v Netherlands,56,2.0
650,Mustafizur Rahman (BAN),v New Zealand,40,1.0
651,Mustafizur Rahman (BAN),v Pakistan,50,0.0
652,Mustafizur Rahman (BAN),v South Africa,87,0.0
653,Najibullah Zadran (AFG),v Bangladesh,5,0.0
654,Najibullah Zadran (AFG),v India,2,0.0
655,Najmul Hossain Shanto (BAN),v Afghanistan,59,0.0
656,Najmul Hossain Shanto (BAN),v Australia,45,0.0
657,Najmul Hossain Shanto (BAN),v England,0,0.0
658,Najmul Hossain Shanto (BAN),v India,8,0.0
659,Najmul Hossain Shanto (BAN),v Netherlands,9,0.0
660,Najmul Hossain Shanto (BAN),v New Zealand,7,0.0
661,Najmul Hossain Shanto (BAN),v Pakistan,9,0.0
662,Najmul Hossain Shanto (BAN),v South Africa,0,0.0
663,Najmul Hossain Shanto (BAN),v Sri Lanka,90,0.0
664,Nasum Ahmed (BAN),v Australia,92,0.0
665,Nasum Ahmed (BAN),v India,74,0.0
666,Nasum Ahmed (BAN),v South Africa,46,0.0
667,Naveen-ul-Haq (AFG),v Australia,47,2.0
668,Naveen-ul-Haq (AFG),v Bangladesh,31,1.0
669,Naveen-ul-Haq (AFG),v England,49,1.0
670,Naveen-ul-Haq (AFG),v India,40,0.0
671,Naveen-ul-Haq (AFG),v New Zealand,48,2.0
672,Naveen-ul-Haq (AFG),v Pakistan,52,2.0
673,Naveen-ul-Haq (AFG),v South Africa,54,0.0
674,Naveen-ul-Haq (AFG),v Sri Lanka,47,0.0
675,Noor Ahmad (AFG),v Australia,53,0.0
676,Noor Ahmad (AFG),v Netherlands,31,2.0
677,Noor Ahmad (AFG),v Pakistan,49,3.0
678,Noor Ahmad (AFG),v South Africa,75,0.0
679,P Nissanka (SL),v Afghanistan,46,0.0
680,P Nissanka (SL),v Australia,61,0.0
681,P Nissanka (SL),v Bangladesh,41,0.0
682,P Nissanka (SL),v England,77,0.0
683,P Nissanka (SL),v India,0,0.0
684,P Nissanka (SL),v Netherlands,54,0.0
685,P Nissanka (SL),v New Zealand,2,0.0
686,P Nissanka (SL),v Pakistan,51,0.0
687,P Nissanka (SL),v South Africa,0,0.0
688,PA van Meekeren (NED),v Afghanistan,39,0.0
689,PA van Meekeren (NED),v Australia,64,0.0
690,PA van Meekeren (NED),v Bangladesh,23,4.0
691,PA van Meekeren (NED),v England,61,1.0
692,PA van Meekeren (NED),v India,93,1.0
693,PA van Meekeren (NED),v New Zealand,63,2.0
694,PA van Meekeren (NED),v Pakistan,47,1.0
695,PA van Meekeren (NED),v South Africa,40,2.0
696,PA van Meekeren (NED),v Sri Lanka,43,1.0
697,PJ Cummins (AUS),v Afghanistan,59,0.0
698,PJ Cummins (AUS),v Bangladesh,56,0.0
699,PJ Cummins (AUS),v England,59,2.0
700,PJ Cummins (AUS),v India,48,0.0
701,PJ Cummins (AUS),v Netherlands,26,1.0
702,PJ Cummins (AUS),v New Zealand,103,2.0
703,PJ Cummins (AUS),v Pakistan,68,2.0
704,PJ Cummins (AUS),v South Africa,158,4.0
705,PJ Cummins (AUS),v Sri Lanka,32,2.0
706,PVD Chameera (SL),v Afghanistan,52,0.0
707,PVD Chameera (SL),v Bangladesh,58,0.0
708,PVD Chameera (SL),v India,71,1.0
709,PVD Chameera (SL),v New Zealand,21,1.0
710,Q de Kock (SA),v Afghanistan,41,0.0
711,Q de Kock (SA),v Australia,112,0.0
712,Q de Kock (SA),v Bangladesh,174,0.0
713,Q de Kock (SA),v England,4,0.0
714,Q de Kock (SA),v India,5,0.0
715,Q de Kock (SA),v Netherlands,20,0.0
716,Q de Kock (SA),v New Zealand,114,0.0
717,Q de Kock (SA),v Pakistan,24,0.0
718,Q de Kock (SA),v Sri Lanka,100,0.0
719,R Ashwin (IND),v Australia,34,1.0
720,R Klein (NED),v New Zealand,49,0.0
721,R Ravindra (NZ),v Afghanistan,66,1.0
722,R Ravindra (NZ),v Australia,172,0.0
723,R Ravindra (NZ),v Bangladesh,46,0.0
724,R Ravindra (NZ),v England,199,1.0
725,R Ravindra (NZ),v India,194,0.0
726,R Ravindra (NZ),v Netherlands,97,1.0
727,R Ravindra (NZ),v Pakistan,108,0.0
728,R Ravindra (NZ),v South Africa,26,0.0
729,R Ravindra (NZ),v Sri Lanka,63,2.0
730,RA Jadeja (IND),v Afghanistan,38,0.0
731,RA Jadeja (IND),v Australia,28,3.0
732,RA Jadeja (IND),v Bangladesh,38,2.0
733,RA Jadeja (IND),v England,24,1.0
734,RA Jadeja (IND),v Netherlands,49,2.0
735,RA Jadeja (IND),v New Zealand,150,0.0
736,RA Jadeja (IND),v Pakistan,38,2.0
737,RA Jadeja (IND),v South Africa,62,5.0
738,RA Jadeja (IND),v Sri Lanka,39,1.0
739,RE van der Merwe (NED),v Afghanistan,38,1.0
740,RE van der Merwe (NED),v Australia,41,0.0
741,RE van der Merwe (NED),v England,22,0.0
742,RE van der Merwe (NED),v India,69,1.0
743,RE van der Merwe (NED),v New Zealand,57,2.0
744,RE van der Merwe (NED),v Pakistan,40,0.0
745,RE van der Merwe (NED),v South Africa,63,2.0
746,RE van der Merwe (NED),v Sri Lanka,49,0.0
747,RG Sharma (IND),v Afghanistan,131,0.0
748,RG Sharma (IND),v Australia,0,0.0
749,RG Sharma (IND),v Bangladesh,48,0.0
750,RG Sharma (IND),v England,87,0.0
751,RG Sharma (IND),v Netherlands,68,1.0
752,RG Sharma (IND),v New Zealand,93,0.0
753,RG Sharma (IND),v Pakistan,86,0.0
754,RG Sharma (IND),v South Africa,40,0.0
755,RG Sharma (IND),v Sri Lanka,4,0.0
756,RJW Topley (ENG),v Afghanistan,67,1.0
757,RJW Topley (ENG),v Bangladesh,44,4.0
758,RJW Topley (ENG),v South Africa,88,3.0
759,RR Hendricks (SA),v Bangladesh,12,0.0
760,RR Hendricks (SA),v England,85,0.0
761,Rahmanullah Gurbaz (AFG),v Australia,21,0.0
762,Rahmanullah Gurbaz (AFG),v Bangladesh,47,0.0
763,Rahmanullah Gurbaz (AFG),v England,80,0.0
764,Rahmanullah Gurbaz (AFG),v India,21,0.0
765,Rahmanullah Gurbaz (AFG),v Netherlands,10,0.0
766,Rahmanullah Gurbaz (AFG),v New Zealand,11,0.0
767,Rahmanullah Gurbaz (AFG),v Pakistan,65,0.0
768,Rahmanullah Gurbaz (AFG),v South Africa,25,0.0
769,Rahmanullah Gurbaz (AFG),v Sri Lanka,0,0.0
770,Rahmat Shah (AFG),v Australia,30,0.0
771,Rahmat Shah (AFG),v Bangladesh,18,0.0
772,Rahmat Shah (AFG),v England,3,0.0
773,Rahmat Shah (AFG),v India,16,0.0
774,Rahmat Shah (AFG),v Netherlands,52,0.0
775,Rahmat Shah (AFG),v New Zealand,36,0.0
776,Rahmat Shah (AFG),v Pakistan,77,0.0
777,Rahmat Shah (AFG),v South Africa,38,0.0
778,Rahmat Shah (AFG),v Sri Lanka,62,0.0
779,Rashid Khan (AFG),v Australia,79,2.0
780,Rashid Khan (AFG),v Bangladesh,57,0.0
781,Rashid Khan (AFG),v England,60,3.0
782,Rashid Khan (AFG),v India,73,2.0
783,Rashid Khan (AFG),v Netherlands,31,0.0
784,Rashid Khan (AFG),v New Zealand,51,1.0
785,Rashid Khan (AFG),v Pakistan,41,0.0
786,Rashid Khan (AFG),v South Africa,51,2.0
787,Rashid Khan (AFG),v Sri Lanka,50,1.0
788,S Samarawickrama (SL),v Afghanistan,36,0.0
789,S Samarawickrama (SL),v Australia,8,0.0
790,S Samarawickrama (SL),v Bangladesh,41,0.0
791,S Samarawickrama (SL),v England,65,0.0
792,S Samarawickrama (SL),v India,0,0.0
793,S Samarawickrama (SL),v Netherlands,91,0.0
794,S Samarawickrama (SL),v New Zealand,1,0.0
795,S Samarawickrama (SL),v Pakistan,108,0.0
796,S Samarawickrama (SL),v South Africa,23,0.0
797,SA Abbott (AUS),v Bangladesh,61,2.0
798,SA Edwards (NED),v Afghanistan,0,0.0
799,SA Edwards (NED),v Australia,12,0.0
800,SA Edwards (NED),v Bangladesh,68,0.0
801,SA Edwards (NED),v England,38,0.0
802,SA Edwards (NED),v India,17,0.0
803,SA Edwards (NED),v New Zealand,30,0.0
804,SA Edwards (NED),v Pakistan,0,0.0
805,SA Edwards (NED),v South Africa,78,0.0
806,SA Edwards (NED),v Sri Lanka,16,0.0
807,SA Engelbrecht (NED),v Afghanistan,58,0.0
808,SA Engelbrecht (NED),v Australia,11,0.0
809,SA Engelbrecht (NED),v Bangladesh,35,0.0
810,SA Engelbrecht (NED),v England,33,0.0
811,SA Engelbrecht (NED),v India,45,0.0
812,SA Engelbrecht (NED),v New Zealand,29,0.0
813,SA Engelbrecht (NED),v South Africa,19,0.0
814,SA Engelbrecht (NED),v Sri Lanka,70,0.0
815,SA Yadav (IND),v England,49,0.0
816,SA Yadav (IND),v Netherlands,19,0.0
817,SA Yadav (IND),v New Zealand,2,0.0
818,SA Yadav (IND),v South Africa,22,0.0
819,SA Yadav (IND),v Sri Lanka,12,0.0
820,SA Yadav(IND),v New Zealand,1,0.0
821,SM Curran (ENG),v Afghanistan,56,0.0
822,SM Curran (ENG),v Bangladesh,58,1.0
823,SM Curran (ENG),v New Zealand,61,1.0
824,SN Thakur (IND),v Afghanistan,31,1.0
825,SN Thakur (IND),v Bangladesh,59,1.0
826,SN Thakur (IND),v Pakistan,12,0.0
827,SPD Smith (AUS),v Bangladesh,63,0.0
828,SPD Smith (AUS),v England,44,0.0
829,SPD Smith (AUS),v India,46,0.0
830,SPD Smith (AUS),v Netherlands,71,0.0
831,SPD Smith (AUS),v New Zealand,18,0.0
832,SPD Smith (AUS),v Pakistan,7,0.0
833,SPD Smith (AUS),v South Africa,49,0.0
834,SPD Smith (AUS),v Sri Lanka,0,0.0
835,SS Iyer (IND),v Afghanistan,25,0.0
836,SS Iyer (IND),v Australia,0,0.0
837,SS Iyer (IND),v Bangladesh,19,0.0
838,SS Iyer (IND),v England,4,0.0
839,SS Iyer (IND),v Netherlands,128,0.0
840,SS Iyer (IND),v New Zealand,138,0.0
841,SS Iyer (IND),v Pakistan,53,0.0
842,SS Iyer (IND),v South Africa,77,0.0
843,SS Iyer (IND),v Sri Lanka,82,0.0
844,Saqib Zulfiqar (NED),v Afghanistan,28,1.0
845,Saqib Zulfiqar (NED),v Pakistan,25,0.0
846,Saud Shakeel (PAK),v Afghanistan,25,0.0
847,Saud Shakeel (PAK),v Australia,30,0.0
848,Saud Shakeel (PAK),v England,29,0.0
849,Saud Shakeel (PAK),v India,6,0.0
850,Saud Shakeel (PAK),v Netherlands,68,0.0
851,Saud Shakeel (PAK),v South Africa,52,0.0
852,Saud Shakeel (PAK),v Sri Lanka,31,0.0
853,Shadab Khan (PAK),v Afghanistan,89,0.0
854,Shadab Khan (PAK),v England,61,0.0
855,Shadab Khan (PAK),v India,33,0.0
856,Shadab Khan (PAK),v Netherlands,77,1.0
857,Shadab Khan (PAK),v South Africa,43,0.0
858,Shadab Khan (PAK),v Sri Lanka,55,1.0
859,Shaheen Shah Afridi (PAK),v Afghanistan,61,1.0
860,Shaheen Shah Afridi (PAK),v Australia,64,5.0
861,Shaheen Shah Afridi (PAK),v Bangladesh,23,3.0
862,Shaheen Shah Afridi (PAK),v England,97,2.0
863,Shaheen Shah Afridi (PAK),v India,38,2.0
864,Shaheen Shah Afridi (PAK),v Netherlands,50,1.0
865,Shaheen Shah Afridi (PAK),v New Zealand,90,0.0
866,Shaheen Shah Afridi (PAK),v South Africa,47,3.0
867,Shaheen Shah Afridi (PAK),v Sri Lanka,66,1.0
868,Shakib Al Hasan (BAN),v Afghanistan,44,3.0
869,Shakib Al Hasan (BAN),v England,53,1.0
870,Shakib Al Hasan (BAN),v Netherlands,42,1.0
871,Shakib Al Hasan (BAN),v New Zealand,94,1.0
872,Shakib Al Hasan (BAN),v Pakistan,73,0.0
873,Shakib Al Hasan (BAN),v South Africa,70,1.0
874,Shakib Al Hasan (BAN),v Sri Lanka,139,2.0
875,Shariz Ahmad (NED),v Bangladesh,19,0.0
876,Shoriful Islam (BAN),v Afghanistan,34,2.0
877,Shoriful Islam (BAN),v England,87,3.0
878,Shoriful Islam (BAN),v India,61,0.0
879,Shoriful Islam (BAN),v Netherlands,51,2.0
880,Shoriful Islam (BAN),v New Zealand,45,0.0
881,Shoriful Islam (BAN),v Pakistan,26,0.0
882,Shoriful Islam (BAN),v South Africa,82,1.0
883,Shoriful Islam (BAN),v Sri Lanka,51,2.0
884,Shubman Gill (IND),v Bangladesh,53,0.0
885,Shubman Gill (IND),v England,9,0.0
886,Shubman Gill (IND),v Netherlands,62,0.0
887,Shubman Gill (IND),v New Zealand,106,0.0
888,Shubman Gill (IND),v Pakistan,16,0.0
889,Shubman Gill (IND),v South Africa,23,0.0
890,Shubman Gill (IND),v Sri Lanka,92,0.0
891,T Bavuma (SA),v Afghanistan,23,0.0
892,T Bavuma (SA),v Australia,35,0.0
893,T Bavuma (SA),v India,11,0.0
894,T Bavuma (SA),v Netherlands,16,0.0
895,T Bavuma (SA),v New Zealand,24,0.0
896,T Bavuma (SA),v Pakistan,28,0.0
897,T Bavuma (SA),v Sri Lanka,8,0.0
898,T Shamsi (SA),v Australia,81,4.0
899,T Shamsi (SA),v India,76,1.0
900,T Shamsi (SA),v Pakistan,64,4.0
901,TA Boult (NZ),v Afghanistan,18,2.0
902,TA Boult (NZ),v Australia,87,3.0
903,TA Boult (NZ),v Bangladesh,45,2.0
904,TA Boult (NZ),v England,48,1.0
905,TA Boult (NZ),v India,148,2.0
906,TA Boult (NZ),v Netherlands,34,0.0
907,TA Boult (NZ),v Pakistan,50,0.0
908,TA Boult (NZ),v South Africa,58,1.0
909,TA Boult (NZ),v Sri Lanka,37,3.0
910,TG Southee (NZ),v India,109,3.0
911,TG Southee (NZ),v Pakistan,27,1.0
912,TG Southee (NZ),v South Africa,84,2.0
913,TG Southee (NZ),v Sri Lanka,52,1.0
914,TM Head (AUS),v Afghanistan,15,0.0
915,TM Head (AUS),v Bangladesh,43,0.0
916,TM Head (AUS),v England,39,0.0
917,TM Head (AUS),v New Zealand,109,0.0
918,TM Head (AUS),v South Africa,83,2.0
919,TWM Latham (NZ),v Afghanistan,68,0.0
920,TWM Latham (NZ),v Australia,21,0.0
921,TWM Latham (NZ),v India,5,0.0
922,TWM Latham (NZ),v Netherlands,53,0.0
923,TWM Latham (NZ),v Pakistan,2,0.0
924,TWM Latham (NZ),v South Africa,4,0.0
925,TWM Latham (NZ),v Sri Lanka,2,0.0
926,Tanzid Hasan (BAN),v Afghanistan,5,0.0
927,Tanzid Hasan (BAN),v Australia,36,0.0
928,Tanzid Hasan (BAN),v England,1,0.0
929,Tanzid Hasan (BAN),v India,51,0.0
930,Tanzid Hasan (BAN),v Netherlands,15,0.0
931,Tanzid Hasan (BAN),v New Zealand,16,0.0
932,Tanzid Hasan (BAN),v Pakistan,0,0.0
933,Tanzid Hasan (BAN),v South Africa,12,0.0
934,Tanzid Hasan (BAN),v Sri Lanka,9,0.0
935,Tanzim Hasan Sakib (BAN),v Sri Lanka,85,3.0
936,Taskin Ahmed (BAN),v Afghanistan,32,1.0
937,Taskin Ahmed (BAN),v Australia,61,1.0
938,Taskin Ahmed (BAN),v England,53,1.0
939,Taskin Ahmed (BAN),v Netherlands,54,2.0
940,Taskin Ahmed (BAN),v New Zealand,73,0.0
941,Taskin Ahmed (BAN),v Pakistan,42,0.0
942,Taskin Ahmed (BAN),v Sri Lanka,39,0.0
943,Towhid Hridoy (BAN),v Australia,74,0.0
944,Towhid Hridoy (BAN),v England,39,0.0
945,Towhid Hridoy (BAN),v India,16,0.0
946,Towhid Hridoy (BAN),v New Zealand,13,0.0
947,Towhid Hridoy (BAN),v Pakistan,7,0.0
948,Towhid Hridoy (BAN),v Sri Lanka,15,0.0
949,Usama Mir (PAK),v Afghanistan,55,0.0
950,Usama Mir (PAK),v Australia,82,1.0
951,Usama Mir (PAK),v Bangladesh,66,1.0
952,Usama Mir (PAK),v South Africa,45,2.0
953,V Kohli (IND),v Afghanistan,55,0.0
954,V Kohli (IND),v Australia,85,0.0
955,V Kohli (IND),v Bangladesh,105,0.0
956,V Kohli (IND),v England,0,0.0
957,V Kohli (IND),v Netherlands,64,1.0
958,V Kohli (IND),v New Zealand,212,0.0
959,V Kohli (IND),v Pakistan,16,0.0
960,V Kohli (IND),v South Africa,101,0.0
961,V Kohli (IND),v Sri Lanka,88,0.0
962,Vikramjit Singh (NED),v Australia,52,0.0
963,Vikramjit Singh (NED),v Bangladesh,3,0.0
964,Vikramjit Singh (NED),v New Zealand,21,0.0
965,Vikramjit Singh (NED),v Pakistan,68,0.0
966,Vikramjit Singh (NED),v South Africa,2,0.0
967,Vikramjit Singh (NED),v Sri Lanka,4,0.0
968,W Barresi (NED),v Afghanistan,1,0.0
969,W Barresi (NED),v Bangladesh,41,0.0
970,W Barresi (NED),v England,37,0.0
971,W Barresi (NED),v India,4,0.0
972,WA Young (NZ),v Afghanistan,54,0.0
973,WA Young (NZ),v Australia,32,0.0
974,WA Young (NZ),v England,0,0.0
975,WA Young (NZ),v India,17,0.0
976,WA Young (NZ),v Netherlands,70,0.0
977,WA Young (NZ),v South Africa,33,0.0
